Date,Open,High
18/07/2018,40.05,40.06
19/07/2018,39.5,39.51
20/07/2018,40.8,40.83
23/07/2018,41.92,41.93
24/07/2018,41.83,41.8
25/07/2018,43.06,43.02
26/07/2018,42.78,42.77
27/07/2018,41.75,41.71
30/07/2018,43.51,43.49
31/07/2018,44.47,44.49
01/08/2018,45.72,45.74
02/08/2018,46.57,46.58
03/08/2018,46.81,46.79
06/08/2018,48.2,48.22
07/08/2018,48.48,48.52
08/08/2018,46.8,47.05
09/08/2018,47.54,48.1
10/08/2018,46.29,46.77
13/08/2018,46.97,47.33
14/08/2018,47.64,47.64
15/08/2018,46.97,46.98
16/08/2018,46.32,46.35
17/08/2018,44.68,44.7
20/08/2018,43.17,43.16
21/08/2018,44.39,44.44
22/08/2018,44.85,44.83
23/08/2018,45.47,45.5
24/08/2018,47.63,47.62
27/08/2018,45.88,45.88
28/08/2018,46.28,46.29
29/08/2018,44.91,44.9
30/08/2018,43.62,43.58
31/08/2018,43.85,43.91
04/09/2018,43.04,43.03
05/09/2018,43.34,43.3
06/09/2018,43.85,43.44
07/09/2018,45.33,45.34
10/09/2018,46.1,46.32
11/09/2018,44.36,44.48
12/09/2018,45.6,45.93
13/09/2018,44.65,44.67
14/09/2018,47.07,47.05
17/09/2018,47.72,47.83
18/09/2018,47.72,48.24
19/09/2018,48.8,48.81
20/09/2018,48.67,48.69
21/09/2018,49.75,49.83
24/09/2018,50.44,50.44
25/09/2018,49.76,49.81
26/09/2018,49.76,51.35
27/09/2018,50.72,50.79
28/09/2018,50.14,50.18
01/10/2018,50.47,50.44
02/10/2018,50.35,50.35
03/10/2018,49.97,49.94
04/10/2018,50.3,50.29
05/10/2018,51.59,51.6
08/10/2018,50.31,50.43
09/10/2018,50.61,50.85
10/10/2018,50.18,50.52
11/10/2018,49.45,49.96
12/10/2018,48.75,49.18
15/10/2018,49.71,49.72
16/10/2018,48.72,48.7
17/10/2018,46.83,46.86
18/10/2018,46.66,46.67
19/10/2018,45.32,45.34
22/10/2018,44.66,44.66
23/10/2018,44.07,44.07
24/10/2018,44.88,44.89
25/10/2018,44.96,44.98
26/10/2018,45.2,45.27
29/10/2018,44.62,44.66
30/10/2018,43.39,43.41
31/10/2018,43.29,43.32
01/11/2018,45.86,45.81
02/11/2018,45.56,45.57
05/11/2018,45.37,45.42
06/11/2018,45.69,45.69
07/11/2018,47.48,47.49
08/11/2018,48.07,48.03
09/11/2018,46.72,47.96
12/11/2018,46.72,46.06
13/11/2018,45.66,47.08
14/11/2018,45.29,45.23
15/11/2018,49.41,49.44
16/11/2018,51.08,51.06
19/11/2018,51.7,51.68
20/11/2018,51.72,51.79
21/11/2018,50.95,50.93
23/11/2018,49.85,49.77
26/11/2018,50.84,50.84
27/11/2018,51.51,51.5
28/11/2018,52.74,52.83
29/11/2018,52.99,52.98
30/11/2018,51.01,51.04
03/12/2018,50.9,50.9
04/12/2018,51.93,51.9
06/12/2018,52.13,52.12
07/12/2018,52.22,52.23
10/12/2018,51.44,52.49
11/12/2018,51.98,52.95
12/12/2018,52.01,53.02
13/12/2018,54.01,54.06
14/12/2018,53.8,53.77
17/12/2018,53.75,53.72
18/12/2018,52.36,52.33
