Date,Open,High
18/12/2017,36.81,36.76
19/12/2017,35.97,35.97
20/12/2017,33.97,33.97
21/12/2017,33.29,33.27
22/12/2017,33.2,33.16
26/12/2017,31.42,31.41
27/12/2017,30.42,30.44
28/12/2017,30.42,30.48
29/12/2017,31.22,31.2
02/01/2018,29.45,29.42
03/01/2018,28.47,28.46
04/01/2018,26.68,26.55
05/01/2018,29.55,29.53
08/01/2018,32.07,32.19
09/01/2018,30.31,30.34
10/01/2018,29.54,31.45
11/01/2018,32.32,32.3
12/01/2018,33.21,33.22
16/01/2018,33.66,33.62
17/01/2018,31.62,31.62
18/01/2018,29.9,29.88
19/01/2018,32.29,32.28
22/01/2018,31.63,31.72
23/01/2018,30.86,30.89
24/01/2018,29.71,29.69
25/01/2018,27.96,27.94
26/01/2018,27.54,27.45
29/01/2018,26.19,26.21
30/01/2018,29.32,29.44
31/01/2018,29.05,29.04
01/02/2018,30.68,30.66
02/02/2018,30.77,30.77
05/02/2018,29.59,29.64
06/02/2018,31.37,31.48
07/02/2018,31.84,31.87
08/02/2018,30.35,32.15
09/02/2018,31.4,33.07
12/02/2018,31.65,32.78
13/02/2018,32.74,33.75
14/02/2018,34.39,34.4
15/02/2018,34.57,34.66
16/02/2018,34.56,34.57
20/02/2018,35.91,35.92
21/02/2018,37.9,37.9
22/02/2018,36.67,36.5
23/02/2018,37.62,38.29
26/02/2018,37.77,37.84
27/02/2018,38.51,38.5
28/02/2018,37.2,37.18
01/03/2018,36.32,36.34
02/03/2018,38.43,38.46
05/03/2018,40.17,40.2
06/03/2018,39.47,39.44
07/03/2018,39.91,39.91
08/03/2018,41.45,41.45
09/03/2018,38.28,39.79
12/03/2018,38.14,39.46
13/03/2018,37.99,39.39
14/03/2018,36.91,38.28
15/03/2018,36.91,38.32
16/03/2018,36.94,38.34
19/03/2018,35.36,36.79
20/03/2018,34.3,35.7
21/03/2018,34.52,35.89
22/03/2018,37.74,37.75
23/03/2018,37.3,37.26
26/03/2018,39.74,39.72
27/03/2018,40.46,40.36
28/03/2018,42.12,42.17
29/03/2018,41.7,41.76
02/04/2018,41.45,41.5
03/04/2018,40.4,40.36
04/04/2018,39.74,39.78
05/04/2018,40.88,41.08
06/04/2018,42.72,42.63
09/04/2018,43.18,43.18
10/04/2018,42.76,43.73
11/04/2018,41.67,42.64
12/04/2018,42.52,44.04
13/04/2018,45.29,45.33
16/04/2018,46.03,46.03
17/04/2018,45.98,45.92
18/04/2018,44.75,44.78
19/04/2018,43.65,43.65
20/04/2018,43.77,43.78
23/04/2018,44.33,44.32
24/04/2018,44.58,44.66
25/04/2018,43.45,43.44
26/04/2018,44.68,44.66
27/04/2018,46.21,46.23
30/04/2018,46.64,46.7
01/05/2018,46.22,46.21
02/05/2018,47.72,47.72
03/05/2018,48.29,48.31
04/05/2018,48.12,48.19
07/05/2018,48.16,48.16
08/05/2018,47.67,47.75
09/05/2018,48.12,48.08
10/05/2018,48.04,48.62
11/05/2018,49.1,49.56
14/05/2018,49,49.48
15/05/2018,49.36,49.33
16/05/2018,49.1,49.1
17/05/2018,49.07,49.01
18/05/2018,49.14,49.17
21/05/2018,48.69,48.62
22/05/2018,49.71,49.69
23/05/2018,50.37,50.36
24/05/2018,51.23,51.23
25/05/2018,50.52,50.56
29/05/2018,49.09,49.07
30/05/2018,48.89,48.88
31/05/2018,48.49,48.49
01/06/2018,47.92,48.01
04/06/2018,46.14,46.21
05/06/2018,48,47.98
06/06/2018,49.4,49.37
07/06/2018,48.95,48.85
08/06/2018,49.16,49.13
11/06/2018,49.34,50.11
12/06/2018,46.7,47.64
13/06/2018,45.8,46.33
14/06/2018,47.93,47.85
15/06/2018,49.85,49.88
18/06/2018,48.27,48.33
19/06/2018,49.02,48.99
20/06/2018,46.73,46.6
21/06/2018,47.37,47.43
22/06/2018,45.22,45.14
25/06/2018,45.37,45.41
26/06/2018,44.73,44.76
27/06/2018,46.82,46.8
28/06/2018,44.87,44.75
29/06/2018,45.64,45.68
02/07/2018,45.93,45.95
03/07/2018,45.23,45.24
05/07/2018,44.64,44.65
06/07/2018,44.96,44.94
09/07/2018,43.96,44.75
10/07/2018,43.41,44.19
11/07/2018,42.4,43.13
12/07/2018,42.16,42.92
13/07/2018,41.9,41.92
16/07/2018,41.13,41.14
17/07/2018,41.54,41.6
