Date,spot,futures
"Apr 15, 2016",40.4,40.36
"Apr 18, 2016",39.74,39.78
"Apr 19, 2016",40.88,41.08
"Apr 20, 2016",42.72,42.63
"Apr 21, 2016",43.18,43.18
"Apr 22, 2016",42.76,43.73
"Apr 25, 2016",41.67,42.64
"Apr 26, 2016",42.52,44.04
"Apr 27, 2016",45.29,45.33
"Apr 28, 2016",46.03,46.03
"Apr 29, 2016",45.98,45.92
"May 02, 2016",44.75,44.78
"May 03, 2016",43.65,43.65
"May 04, 2016",43.77,43.78
"May 05, 2016",44.33,44.32
"May 06, 2016",44.58,44.66
"May 09, 2016",43.45,43.44
"May 10, 2016",44.68,44.66
"May 11, 2016",46.21,46.23
"May 12, 2016",46.64,46.7
"May 13, 2016",46.22,46.21
"May 16, 2016",47.72,47.72
"May 17, 2016",48.29,48.31
"May 18, 2016",48.12,48.19
"May 19, 2016",48.16,48.16
"May 20, 2016",47.67,47.75
"May 23, 2016",48.12,48.08
"May 24, 2016",48.04,48.62
"May 25, 2016",49.1,49.56
"May 26, 2016",49,49.48
"May 27, 2016",49.36,49.33
"May 31, 2016",49.1,49.1
"Jun 01, 2016",49.07,49.01
"Jun 02, 2016",49.14,49.17
"Jun 03, 2016",48.69,48.62
"Jun 06, 2016",49.71,49.69
"Jun 07, 2016",50.37,50.36
"Jun 08, 2016",51.23,51.23
"Jun 09, 2016",50.52,50.56
"Jun 10, 2016",49.09,49.07
"Jun 13, 2016",48.89,48.88
"Jun 14, 2016",48.49,48.49
"Jun 15, 2016",47.92,48.01
"Jun 16, 2016",46.14,46.21
"Jun 17, 2016",48,47.98
"Jun 20, 2016",49.4,49.37
"Jun 21, 2016",48.95,48.85
"Jun 22, 2016",49.16,49.13
"Jun 23, 2016",49.34,50.11
"Jun 24, 2016",46.7,47.64
"Jun 27, 2016",45.8,46.33
"Jun 28, 2016",47.93,47.85
"Jun 29, 2016",49.85,49.88
"Jun 30, 2016",48.27,48.33
"Jul 01, 2016",49.02,48.99
"Jul 05, 2016",46.73,46.6
"Jul 06, 2016",47.37,47.43
"Jul 07, 2016",45.22,45.14
"Jul 08, 2016",45.37,45.41
"Jul 11, 2016",44.73,44.76
"Jul 12, 2016",46.82,46.8
"Jul 13, 2016",44.87,44.75
"Jul 14, 2016",45.64,45.68
"Jul 15, 2016",45.93,45.95
"Jul 18, 2016",45.23,45.24
"Jul 19, 2016",44.64,44.65
"Jul 20, 2016",44.96,44.94
"Jul 21, 2016",43.96,44.75
"Jul 22, 2016",43.41,44.19
"Jul 25, 2016",42.4,43.13
"Jul 26, 2016",42.16,42.92
"Jul 27, 2016",41.9,41.92
"Jul 28, 2016",41.13,41.14
"Jul 29, 2016",41.54,41.6
"Aug 01, 2016",40.05,40.06
"Aug 02, 2016",39.5,39.51
"Aug 03, 2016",40.8,40.83
"Aug 04, 2016",41.92,41.93
"Aug 05, 2016",41.83,41.8
"Aug 08, 2016",43.06,43.02
"Aug 09, 2016",42.78,42.77
"Aug 10, 2016",41.75,41.71
"Aug 11, 2016",43.51,43.49
"Aug 12, 2016",44.47,44.49
"Aug 15, 2016",45.72,45.74
"Aug 16, 2016",46.57,46.58
"Aug 17, 2016",46.81,46.79
"Aug 18, 2016",48.2,48.22
"Aug 19, 2016",48.48,48.52
"Aug 22, 2016",46.8,47.05
"Aug 23, 2016",47.54,48.1
"Aug 24, 2016",46.29,46.77
"Aug 25, 2016",46.97,47.33
"Aug 26, 2016",47.64,47.64
"Aug 29, 2016",46.97,46.98
"Aug 30, 2016",46.32,46.35
"Aug 31, 2016",44.68,44.7
"Sep 01, 2016",43.17,43.16
"Sep 02, 2016",44.39,44.44
"Sep 06, 2016",44.85,44.83
"Sep 07, 2016",45.47,45.5
"Sep 08, 2016",47.63,47.62
"Sep 09, 2016",45.88,45.88
"Sep 12, 2016",46.28,46.29
"Sep 13, 2016",44.91,44.9
"Sep 14, 2016",43.62,43.58
"Sep 15, 2016",43.85,43.91
"Sep 16, 2016",43.04,43.03
"Sep 19, 2016",43.34,43.3
"Sep 20, 2016",43.85,43.44
"Sep 21, 2016",45.33,45.34
"Sep 22, 2016",46.1,46.32
"Sep 23, 2016",44.36,44.48
"Sep 26, 2016",45.6,45.93
"Sep 27, 2016",44.65,44.67
"Sep 28, 2016",47.07,47.05
"Sep 29, 2016",47.72,47.83
"Sep 30, 2016",47.72,48.24
"Oct 03, 2016",48.8,48.81
"Oct 04, 2016",48.67,48.69
"Oct 05, 2016",49.75,49.83
"Oct 06, 2016",50.44,50.44
"Oct 07, 2016",49.76,49.81
"Oct 10, 2016",49.76,51.35
"Oct 11, 2016",50.72,50.79
"Oct 12, 2016",50.14,50.18
"Oct 13, 2016",50.47,50.44
"Oct 14, 2016",50.35,50.35
"Oct 17, 2016",49.97,49.94
"Oct 18, 2016",50.3,50.29
"Oct 19, 2016",51.59,51.6
"Oct 20, 2016",50.31,50.43
"Oct 21, 2016",50.61,50.85
"Oct 24, 2016",50.18,50.52
"Oct 25, 2016",49.45,49.96
"Oct 26, 2016",48.75,49.18
"Oct 27, 2016",49.71,49.72
"Oct 28, 2016",48.72,48.7
"Oct 31, 2016",46.83,46.86
"Nov 01, 2016",46.66,46.67
"Nov 02, 2016",45.32,45.34
"Nov 03, 2016",44.66,44.66
"Nov 04, 2016",44.07,44.07
"Nov 07, 2016",44.88,44.89
"Nov 08, 2016",44.96,44.98
"Nov 09, 2016",45.2,45.27
"Nov 10, 2016",44.62,44.66
"Nov 11, 2016",43.39,43.41
"Nov 14, 2016",43.29,43.32
"Nov 15, 2016",45.86,45.81
"Nov 16, 2016",45.56,45.57
"Nov 17, 2016",45.37,45.42
"Nov 18, 2016",45.69,45.69
"Nov 21, 2016",47.48,47.49
"Nov 22, 2016",48.07,48.03
"Nov 23, 2016",46.72,47.96
"Nov 25, 2016",46.72,46.06
"Nov 28, 2016",45.66,47.08
"Nov 29, 2016",45.29,45.23
"Nov 30, 2016",49.41,49.44
"Dec 01, 2016",51.08,51.06
"Dec 02, 2016",51.7,51.68
"Dec 05, 2016",51.72,51.79
"Dec 06, 2016",50.95,50.93
"Dec 07, 2016",49.85,49.77
"Dec 08, 2016",50.84,50.84
"Dec 09, 2016",51.51,51.5
"Dec 12, 2016",52.74,52.83
"Dec 13, 2016",52.99,52.98
"Dec 14, 2016",51.01,51.04
"Dec 15, 2016",50.9,50.9
"Dec 16, 2016",51.93,51.9
"Dec 19, 2016",52.13,52.12
"Dec 20, 2016",52.22,52.23
"Dec 21, 2016",51.44,52.49
"Dec 22, 2016",51.98,52.95
"Dec 23, 2016",52.01,53.02
"Dec 28, 2016",54.01,54.06
"Dec 29, 2016",53.8,53.77
"Dec 30, 2016",53.75,53.72
"Jan 03, 2017",52.36,52.33
"Jan 04, 2017",53.26,53.26
"Jan 05, 2017",53.77,53.76
"Jan 06, 2017",53.98,53.99
"Jan 09, 2017",51.95,51.96
"Jan 10, 2017",50.82,50.82
"Jan 11, 2017",52.19,52.25
"Jan 12, 2017",53.01,53.01
"Jan 13, 2017",52.36,52.37
"Jan 17, 2017",52.45,52.48
"Jan 18, 2017",51.12,51.08
"Jan 19, 2017",51.39,51.37
"Jan 20, 2017",52.33,52.42
"Jan 23, 2017",52.77,52.75
"Jan 24, 2017",52.38,53.18
"Jan 25, 2017",52.14,52.75
"Jan 26, 2017",53.24,53.78
"Jan 27, 2017",53.18,53.17
"Jan 30, 2017",52.63,52.63
"Jan 31, 2017",52.75,52.81
"Feb 01, 2017",53.9,53.88
"Feb 02, 2017",53.55,53.54
"Feb 03, 2017",53.81,53.83
"Feb 06, 2017",53.01,53.01
"Feb 07, 2017",52.19,52.17
"Feb 08, 2017",52.37,52.34
"Feb 09, 2017",52.99,53
"Feb 10, 2017",53.84,53.86
"Feb 13, 2017",52.96,52.93
"Feb 14, 2017",53.21,53.2
"Feb 15, 2017",53.11,53.11
"Feb 16, 2017",53.41,53.36
"Feb 17, 2017",53.41,53.4
"Feb 21, 2017",54.02,54.06
"Feb 22, 2017",53.61,53.59
"Feb 23, 2017",54.48,54.45
"Feb 24, 2017",53.99,53.99
"Feb 27, 2017",54.04,54.05
"Feb 28, 2017",54,54.01
"Mar 01, 2017",53.82,53.83
"Mar 02, 2017",52.63,52.61
"Mar 03, 2017",53.33,53.33
"Mar 06, 2017",53.19,53.2
"Mar 07, 2017",52.68,53.14
"Mar 08, 2017",49.83,50.28
"Mar 09, 2017",48.75,49.28
"Mar 10, 2017",48.05,48.49
"Mar 13, 2017",47.95,48.4
"Mar 14, 2017",47.24,47.72
"Mar 15, 2017",48.34,48.86
"Mar 16, 2017",48.3,48.75
"Mar 17, 2017",48.34,48.78
"Mar 20, 2017",47.79,48.22
"Mar 21, 2017",47.02,47.34
"Mar 22, 2017",47.29,48.04
"Mar 23, 2017",47,47.7
"Mar 24, 2017",47.3,47.97
"Mar 27, 2017",47.02,47.73
"Mar 28, 2017",48.36,48.37
"Mar 29, 2017",49.47,49.51
"Mar 30, 2017",50.3,50.35
"Mar 31, 2017",50.54,50.6
"Apr 03, 2017",50.25,50.24
"Apr 04, 2017",50.99,51.03
"Apr 05, 2017",51.14,51.15
"Apr 06, 2017",51.69,51.7
"Apr 07, 2017",52.25,52.24
"Apr 10, 2017",53.06,53.08
"Apr 11, 2017",53.38,53.4
"Apr 12, 2017",53.12,53.11
"Apr 13, 2017",53.19,53.18
"Apr 17, 2017",52.62,52.65
"Apr 18, 2017",52.46,52.41
"Apr 19, 2017",50.49,50.44
"Apr 20, 2017",50.26,50.27
"Apr 21, 2017",49.64,49.62
"Apr 24, 2017",48.9,49.23
"Apr 25, 2017",49.22,49.56
"Apr 26, 2017",49.22,49.62
"Apr 27, 2017",48.96,48.97
"Apr 28, 2017",49.31,49.33
"May 01, 2017",48.83,48.84
"May 02, 2017",47.65,47.66
"May 03, 2017",47.79,47.82
"May 04, 2017",45.55,45.52
"May 05, 2017",46.23,46.22
"May 08, 2017",46.46,46.43
"May 09, 2017",45.84,45.88
"May 10, 2017",47.28,47.33
"May 11, 2017",47.81,47.83
"May 12, 2017",47.83,47.84
"May 15, 2017",48.86,48.85
"May 16, 2017",48.64,48.66
"May 17, 2017",49.04,49.07
"May 18, 2017",49.36,49.35
"May 19, 2017",50.32,50.33
"May 22, 2017",50.81,50.73
"May 23, 2017",51.12,51.47
"May 24, 2017",50.99,51.36
"May 25, 2017",48.57,48.9
"May 26, 2017",49.58,49.8
"May 30, 2017",49.63,49.66
"May 31, 2017",48.29,48.32
"Jun 01, 2017",48.32,48.36
"Jun 02, 2017",47.68,47.66
"Jun 05, 2017",47.4,47.4
"Jun 06, 2017",48.13,48.19
"Jun 07, 2017",45.8,45.72
"Jun 08, 2017",45.68,45.64
"Jun 09, 2017",45.82,45.83
"Jun 12, 2017",46.1,46.08
"Jun 13, 2017",46.41,46.46
"Jun 14, 2017",44.79,44.73
"Jun 15, 2017",44.47,44.46
"Jun 16, 2017",44.73,44.74
"Jun 19, 2017",44.24,44.2
"Jun 20, 2017",43.34,43.23
"Jun 21, 2017",42.48,42.53
"Jun 22, 2017",42.53,42.74
"Jun 23, 2017",42.86,43.01
"Jun 26, 2017",43.24,43.38
"Jun 27, 2017",44.25,44.24
"Jun 28, 2017",44.74,44.74
"Jun 29, 2017",44.88,44.93
"Jun 30, 2017",46.02,46.04
"Jul 05, 2017",45.11,45.13
"Jul 06, 2017",45.52,45.52
"Jul 07, 2017",44.25,44.23
"Jul 10, 2017",44.4,44.4
"Jul 11, 2017",45.06,45.04
"Jul 12, 2017",45.48,45.49
"Jul 13, 2017",46.06,46.08
"Jul 14, 2017",46.53,46.54
"Jul 17, 2017",46.02,46.02
"Jul 18, 2017",46.4,46.4
"Jul 19, 2017",47.1,47.12
"Jul 20, 2017",46.73,46.79
"Jul 21, 2017",45.78,45.77
"Jul 24, 2017",46.21,46.34
"Jul 25, 2017",47.77,47.89
"Jul 26, 2017",48.58,48.75
"Jul 27, 2017",49.05,49.04
"Jul 28, 2017",49.72,49.71
"Jul 31, 2017",50.21,50.17
"Aug 01, 2017",49.19,49.16
"Aug 02, 2017",49.6,49.59
"Aug 03, 2017",49.03,49.03
"Aug 04, 2017",49.57,49.58
"Aug 07, 2017",49.37,49.39
"Aug 08, 2017",49.07,49.17
"Aug 09, 2017",49.59,49.56
"Aug 10, 2017",48.54,48.59
"Aug 11, 2017",48.81,48.82
"Aug 14, 2017",47.59,47.59
"Aug 15, 2017",47.57,47.55
"Aug 16, 2017",46.8,46.78
"Aug 17, 2017",47.07,47.09
"Aug 18, 2017",48.59,48.51
"Aug 21, 2017",47.39,47.37
"Aug 22, 2017",47.65,47.64
"Aug 23, 2017",48.45,48.41
"Aug 24, 2017",47.24,47.43
"Aug 25, 2017",47.65,47.87
"Aug 28, 2017",46.4,46.57
"Aug 29, 2017",46.46,46.44
"Aug 30, 2017",45.96,45.96
"Aug 31, 2017",47.26,47.23
"Sep 01, 2017",47.32,47.29
"Sep 05, 2017",48.63,48.66
"Sep 06, 2017",49.13,49.16
"Sep 07, 2017",49.1,49.09
"Sep 08, 2017",47.44,47.48
"Sep 11, 2017",48.06,48.07
"Sep 12, 2017",48.21,48.23
"Sep 13, 2017",49.3,49.3
"Sep 14, 2017",49.86,49.89
"Sep 15, 2017",49.9,49.89
"Sep 18, 2017",49.88,49.91
"Sep 19, 2017",49.54,49.48
"Sep 20, 2017",50.29,50.41
"Sep 21, 2017",50.58,50.55
"Sep 22, 2017",50.33,50.66
"Sep 25, 2017",51.85,52.22
"Sep 26, 2017",51.59,51.88
"Sep 27, 2017",52.14,52.14
"Sep 28, 2017",51.62,51.56
"Sep 29, 2017",51.67,51.67
"Oct 02, 2017",50.59,50.58
"Oct 03, 2017",50.44,50.42
"Oct 04, 2017",50,49.98
"Oct 05, 2017",50.79,50.79
"Oct 06, 2017",49.34,49.29
"Oct 09, 2017",49.58,49.58
"Oct 10, 2017",50.93,50.92
"Oct 11, 2017",51.3,51.3
"Oct 12, 2017",50.61,50.6
"Oct 13, 2017",51.43,51.45
"Oct 16, 2017",51.86,51.87
"Oct 17, 2017",51.87,51.88
"Oct 18, 2017",52.05,52.04
"Oct 19, 2017",51.29,51.29
"Oct 20, 2017",51.63,51.47
"Oct 23, 2017",51.91,51.9
"Oct 24, 2017",52.32,52.47
"Oct 25, 2017",51.97,52.18
"Oct 26, 2017",52.41,52.64
"Oct 27, 2017",53.92,53.9
"Oct 30, 2017",54.11,54.15
"Oct 31, 2017",54.36,54.38
"Nov 01, 2017",54.32,54.3
"Nov 02, 2017",54.55,54.54
"Nov 03, 2017",55.63,55.64
"Nov 06, 2017",57.34,57.35
"Nov 07, 2017",57.19,57.2
"Nov 08, 2017",56.82,56.81
"Nov 09, 2017",57.16,57.17
"Nov 10, 2017",56.75,56.74
"Nov 13, 2017",56.77,56.76
"Nov 14, 2017",55.67,55.7
"Nov 15, 2017",55.28,55.33
"Nov 16, 2017",55.14,55.14
"Nov 17, 2017",56.21,56.55
"Nov 20, 2017",56.21,56.09
"Nov 21, 2017",56.84,56.83
"Nov 22, 2017",57.88,58.02
"Nov 24, 2017",58.94,58.95
"Nov 27, 2017",58.1,58.11
"Nov 28, 2017",57.96,57.99
"Nov 29, 2017",57.25,57.3
"Nov 30, 2017",57.4,57.4
"Dec 01, 2017",58.35,58.36
"Dec 04, 2017",57.48,57.47
"Dec 05, 2017",57.66,57.62
"Dec 06, 2017",55.79,55.96
"Dec 07, 2017",56.5,56.69
"Dec 08, 2017",57.15,57.36
"Dec 11, 2017",57.84,57.99
"Dec 12, 2017",57.12,57.14
"Dec 13, 2017",56.59,56.6
"Dec 14, 2017",57,57.04
"Dec 15, 2017",57.29,57.3
"Dec 18, 2017",57.17,57.16
"Dec 19, 2017",57.49,57.46
"Dec 20, 2017",58.09,58.09
"Dec 21, 2017",58.34,58.36
"Dec 22, 2017",58.25,58.47
"Dec 27, 2017",59.67,59.64
"Dec 28, 2017",59.84,59.84
"Dec 29, 2017",60.46,60.42
"Jan 02, 2018",60.37,60.37
