Date,spot,futures
"Jan 04, 2016",36.81,36.76
"Jan 05, 2016",35.97,35.97
"Jan 06, 2016",33.97,33.97
"Jan 07, 2016",33.29,33.27
"Jan 08, 2016",33.2,33.16
"Jan 11, 2016",31.42,31.41
"Jan 12, 2016",30.42,30.44
"Jan 13, 2016",30.42,30.48
"Jan 14, 2016",31.22,31.2
"Jan 15, 2016",29.45,29.42
"Jan 19, 2016",28.47,28.46
"Jan 20, 2016",26.68,26.55
"Jan 21, 2016",29.55,29.53
"Jan 22, 2016",32.07,32.19
"Jan 25, 2016",30.31,30.34
"Jan 26, 2016",29.54,31.45
"Jan 27, 2016",32.32,32.3
"Jan 28, 2016",33.21,33.22
"Jan 29, 2016",33.66,33.62
"Feb 01, 2016",31.62,31.62
"Feb 02, 2016",29.9,29.88
"Feb 03, 2016",32.29,32.28
"Feb 04, 2016",31.63,31.72
"Feb 05, 2016",30.86,30.89
"Feb 08, 2016",29.71,29.69
"Feb 09, 2016",27.96,27.94
"Feb 10, 2016",27.54,27.45
"Feb 11, 2016",26.19,26.21
"Feb 12, 2016",29.32,29.44
"Feb 16, 2016",29.05,29.04
"Feb 17, 2016",30.68,30.66
"Feb 18, 2016",30.77,30.77
"Feb 19, 2016",29.59,29.64
"Feb 22, 2016",31.37,31.48
"Feb 23, 2016",31.84,31.87
"Feb 24, 2016",30.35,32.15
"Feb 25, 2016",31.4,33.07
"Feb 26, 2016",31.65,32.78
"Feb 29, 2016",32.74,33.75
"Mar 01, 2016",34.39,34.4
"Mar 02, 2016",34.57,34.66
"Mar 03, 2016",34.56,34.57
"Mar 04, 2016",35.91,35.92
"Mar 07, 2016",37.9,37.9
"Mar 08, 2016",36.67,36.5
"Mar 09, 2016",37.62,38.29
"Mar 10, 2016",37.77,37.84
"Mar 11, 2016",38.51,38.5
"Mar 14, 2016",37.2,37.18
"Mar 15, 2016",36.32,36.34
"Mar 16, 2016",38.43,38.46
"Mar 17, 2016",40.17,40.2
"Mar 18, 2016",39.47,39.44
"Mar 21, 2016",39.91,39.91
"Mar 22, 2016",41.45,41.45
"Mar 23, 2016",38.28,39.79
"Mar 24, 2016",38.14,39.46
"Mar 28, 2016",37.99,39.39
"Mar 29, 2016",36.91,38.28
"Mar 30, 2016",36.91,38.32
"Mar 31, 2016",36.94,38.34
"Apr 01, 2016",35.36,36.79
"Apr 04, 2016",34.3,35.7
"Apr 05, 2016",34.52,35.89
"Apr 06, 2016",37.74,37.75
"Apr 07, 2016",37.3,37.26
"Apr 08, 2016",39.74,39.72
"Apr 11, 2016",40.46,40.36
"Apr 12, 2016",42.12,42.17
"Apr 13, 2016",41.7,41.76
"Apr 14, 2016",41.45,41.5
